Word(s),Spoken Form (If Different)
1Password,one password
admin
Áine,onya
Aoibheann,aveen
app
append
apps
Cian,keean
Cian,kian
Cian,keyin
Cian,name can
Cisco
Citrix
cul de sac,cull the sack
cul de sac,called the sack
Darren
DNS
brokenflows
git
github,git hub
hub
Hey
Hi
knausj,nice jay
Lorcan
misc,misk
Maireád,murad
Minecraft
mint
mintty
msys2,emmsis2
Niall,niel
Niall,NIYael
Niall,niall
Niamh,neev
nmap
nmap,N map
Orna
Power BI,Power Be I
rant
rants
remap
Sheelagh,sheila
Siobhan,javan
talon
Tomás,to moss
under-documented,under documented
vim
VPN
WhatsApp

